date,open,high,low,close,volume,amount
1999-12-30,1000.0,1000.0,1000.0,1000.0,0.09864744,1.2396662266
2000-01-04,1001.98,1035.36,985.47,1027.66,0.14011599,1.831998425
2000-01-05,1035.47,1057.85,1013.07,1028.87,0.25330869,2.9044457439999998
2000-01-06,1025.38,1070.79,1011.0,1065.67,0.30202752,4.214444842
2000-01-07,1076.06,1117.71,1058.83,1106.19,0.64830486,8.7515782822
2000-01-10,1108.57,1144.09,1082.38,1130.06,0.54650994,7.690810214400001
2000-01-11,1135.11,1145.76,1082.01,1104.18,0.59380179,8.020619242999999
2000-01-12,1094.59,1114.88,1061.11,1080.4,0.43185026,6.0226742092
2000-01-13,1078.21,1091.29,1051.82,1066.57,0.26321808,3.7650150458
2000-01-14,1070.44,1085.36,1041.54,1062.16,0.21145507,3.0255785183999997
2000-01-17,1058.23,1094.8,1043.07,1085.92,0.3119541,4.7187561825
2000-01-18,1097.11,1106.04,1062.56,1076.92,0.26425109,4.0871049713
2000-01-19,1081.8,1124.59,1071.04,1110.19,0.30484523,5.1804102112
2000-01-20,1110.87,1156.03,1100.1,1149.22,0.36608385,5.9744802202
2000-01-21,1153.26,1179.03,1121.61,1148.63,0.42914032,6.5525119394
2000-01-24,1147.1,1189.07,1120.02,1172.99,0.45713081,7.208298514
2000-01-25,1174.57,1225.91,1151.63,1196.05,0.52426372,8.607171320800001
2000-01-26,1192.9,1224.46,1167.39,1200.14,0.34956466,6.7575459879999995
2000-01-27,1202.86,1239.35,1176.42,1210.27,0.52638737,7.8170004221000005
2000-01-28,1208.3,1247.21,1169.71,1216.79,0.59860995,9.2978975807
2000-02-14,1249.05,1332.89,1237.56,1328.78,0.7639345,11.9920593724
2000-02-15,1356.08,1425.41,1303.61,1356.6,1.15589349,18.0396572701
2000-02-16,1382.39,1432.74,1318.76,1404.39,1.05389851,16.124372780399998
2000-02-17,1432.38,1497.79,1332.59,1369.7,1.13201085,17.5661168579
2000-02-18,1365.65,1435.01,1300.1,1413.28,0.6359745,10.3599457077
2000-02-21,1420.27,1485.56,1353.47,1441.89,0.69693107,11.5486984081
2000-02-22,1451.12,1484.9,1379.09,1419.15,0.70441824,12.9114476117
2000-02-23,1398.92,1438.83,1337.89,1399.22,0.55793616,10.2024310154
2000-02-24,1387.9,1449.93,1370.16,1424.87,0.38272782,7.5180224811
2000-02-25,1425.04,1466.32,1387.81,1425.97,0.39932952,6.8697899283
2000-02-28,1431.52,1509.36,1411.34,1493.82,0.66192199,11.192648657000001
2000-02-29,1512.28,1540.9,1438.07,1493.42,0.62456091,10.041835950700001
2000-03-01,1504.05,1536.04,1452.16,1502.71,0.48384587,7.960904158
2000-03-02,1506.7,1547.36,1466.25,1507.87,0.40155239,7.068920297999999
2000-03-03,1509.34,1548.43,1457.76,1498.59,0.72455155,10.8194529833
2000-03-06,1508.17,1532.23,1426.92,1449.86,0.69259581,11.1743353457
2000-03-07,1424.04,1466.68,1400.76,1449.21,0.33183909,5.489888173400001
2000-03-08,1459.98,1492.22,1424.02,1469.58,0.39507746,6.7275613626999995
2000-03-09,1469.72,1501.94,1433.29,1474.38,0.42087277,6.701703912799999
2000-03-10,1474.44,1489.08,1422.6,1448.85,0.35217714,5.657363247899999
2000-03-13,1449.62,1494.09,1427.05,1478.78,0.49358446,7.6553202792
2000-03-14,1439.23,1470.05,1376.15,1448.17,0.58311899,8.27870067
2000-03-15,1449.12,1484.24,1421.99,1450.1,0.48231212,7.8174975487000005
2000-03-16,1439.31,1453.42,1369.27,1402.56,0.40629418,6.4486579641
2000-03-17,1394.91,1453.19,1381.84,1444.13,0.41387501,6.0003970719
2000-03-20,1432.86,1491.61,1407.23,1476.28,0.61662076,8.7784923913
2000-03-21,1474.6,1507.31,1443.22,1484.09,0.67546484,9.918495846499999
2000-03-22,1486.43,1520.07,1438.58,1490.19,0.47968786,8.3902818925
2000-03-23,1496.88,1534.89,1459.59,1510.84,0.6182707,9.8392603493
2000-03-24,1516.08,1549.71,1468.86,1493.61,0.71958611,11.69432403
2000-03-27,1486.77,1546.59,1466.08,1523.32,0.68732558,10.9565642839
2000-03-28,1532.94,1576.82,1491.69,1544.13,0.93545124,14.120997358499999
2000-03-29,1547.67,1575.19,1491.59,1537.14,0.75956969,12.2311387773
2000-03-30,1538.54,1566.72,1511.16,1540.48,0.56338936,8.759625055399999
2000-03-31,1537.83,1563.98,1502.9,1537.94,0.57781391,8.6272145837
2000-04-03,1534.95,1559.5,1503.19,1522.13,0.43332047,6.3657398925
2000-04-04,1516.97,1538.59,1476.6,1507.87,0.56595708,8.7696791667
2000-04-05,1505.08,1539.32,1480.26,1518.92,0.41754098,5.9450688502
2000-04-06,1519.4,1548.8,1507.98,1541.46,0.39822206,5.8591689565
2000-04-07,1551.43,1591.77,1530.68,1569.14,0.58297016,10.207930491
2000-04-10,1559.53,1589.56,1526.44,1557.76,0.52890758,8.1534579747
2000-04-11,1560.6,1593.02,1532.53,1564.94,0.51314427,8.3860539856
2000-04-12,1566.96,1578.03,1519.1,1551.9,0.33438042,5.5411315927
2000-04-13,1550.22,1596.27,1526.49,1573.71,0.44660514,7.4057436817
2000-04-14,1574.67,1593.45,1541.88,1568.76,0.49827929,7.678952495700001
2000-04-17,1561.24,1593.66,1508.32,1545.19,0.52261998,8.2794139683
2000-04-18,1546.68,1582.41,1510.39,1550.94,0.48884555,7.3481019601
2000-04-19,1567.62,1598.8,1544.46,1575.33,0.44010272,7.1971691089
2000-04-20,1580.52,1623.35,1563.2,1587.4,0.51667088,7.8491410802
2000-04-21,1589.99,1617.41,1543.58,1574.37,0.48884555,7.3481019601
2000-04-24,1577.26,1609.36,1545.96,1576.25,0.55931259,8.5320849547
2000-04-25,1580.94,1605.06,1548.03,1578.45,0.43402344,7.17348278
2000-04-26,1581.33,1605.3,1549.1,1578.58,0.40721501,6.710010461
2000-04-27,1589.42,1626.49,1546.23,1586.93,0.42855706,7.2323719479
2000-04-28,1592.16,1637.51,1563.2,1619.77,0.45916854,7.875771319400001
2000-05-08,1622.57,1645.22,1580.23,1620.15,0.31299085,5.5562711452
2000-05-09,1621.29,1638.72,1572.28,1598.22,0.26958158,4.5501695351
2000-05-10,1585.55,1606.22,1526.82,1555.9,0.34539948,5.9288315833
2000-05-11,1554.03,1576.51,1515.9,1532.81,0.37764854,5.9058170389999995
2000-05-12,1535.88,1558.52,1504.79,1530.9,0.21177224,3.1291379047000003
2000-05-15,1527.5,1537.65,1469.56,1498.2,0.20460031,3.3929306543
2000-05-16,1496.06,1527.39,1480.28,1505.7,0.1551368,2.4052026291999997
2000-05-17,1510.34,1539.06,1487.98,1510.09,0.18518616,3.001250686
2000-05-18,1514.41,1546.97,1496.32,1539.45,0.24420087,3.6845102173
2000-05-19,1543.19,1569.97,1517.19,1556.01,0.37980858,6.121529960599999
2000-05-22,1565.11,1617.54,1543.23,1598.45,1.0541252,14.7798525383
2000-05-23,1602.31,1629.71,1558.04,1594.74,0.62496121,9.459879952
2000-05-24,1596.24,1624.23,1564.0,1591.3,0.63638248,9.4218016165
2000-05-25,1592.15,1632.33,1570.4,1612.55,1.04195711,15.855580942000001
2000-05-26,1613.14,1655.45,1577.82,1622.09,1.14402416,18.1222580089
2000-05-29,1629.74,1662.13,1591.99,1629.95,1.12492885,16.4920633975
2000-05-30,1636.77,1657.16,1589.41,1618.91,0.85077911,12.7337969834
2000-05-31,1613.96,1644.33,1575.32,1614.32,0.91334505,14.0957773704
2000-06-01,1619.04,1649.53,1584.01,1626.59,0.47892634,7.339837566
2000-06-02,1617.51,1649.1,1581.95,1617.56,0.8152252,12.1168135843
2000-06-05,1614.97,1651.6,1572.62,1606.93,0.88351554,12.8451228275
2000-06-06,1614.82,1650.73,1588.01,1635.82,0.66545249,10.9598465625
2000-06-07,1642.63,1669.9,1606.06,1634.67,0.65239745,9.1609840956
2000-06-08,1633.34,1648.6,1595.57,1615.73,0.48034956,7.3381607827
2000-06-09,1613.26,1640.15,1582.29,1606.7,0.50250923,6.9301446013
2000-06-12,1601.99,1632.46,1568.93,1612.07,0.56794004,7.643066039400001
2000-06-13,1617.74,1648.66,1589.68,1624.7,0.60916656,7.8030692912
2000-06-14,1627.35,1660.84,1595.41,1624.34,0.67316975,9.311503610399999
2000-06-15,1621.29,1649.77,1588.81,1619.74,0.54435071,7.7492196239
2000-06-16,1623.35,1641.41,1580.49,1603.84,0.49474925,6.5068578426
2000-06-19,1603.71,1631.96,1571.93,1599.43,0.62276255,8.5379720216
2000-06-20,1600.57,1630.55,1568.98,1594.29,0.69325674,9.8453214257
2000-06-21,1594.91,1628.34,1572.31,1606.88,0.50095241,7.5140696724
2000-06-22,1611.29,1641.43,1582.52,1605.22,0.43757982,6.847011467100001
2000-06-23,1605.38,1637.81,1590.82,1618.66,0.46774538,7.026786231
2000-06-26,1619.34,1652.98,1579.77,1618.39,0.69985061,11.021251828199999
2000-06-27,1618.58,1644.01,1576.12,1616.77,0.70163399,12.086299114200001
2000-06-28,1615.64,1645.98,1586.5,1617.78,0.50465033,8.1798845886
2000-06-29,1622.31,1642.57,1590.48,1618.18,0.4878456,8.247645231
2000-06-30,1620.13,1634.8,1584.47,1603.62,0.44632688,7.3062263476
2000-07-03,1598.55,1614.24,1552.28,1580.58,0.41784548,6.6027120973
2000-07-04,1574.73,1606.61,1551.81,1594.41,0.36582434,6.018605926599999
2000-07-05,1597.08,1624.74,1572.4,1599.36,0.30619164,4.9927879318
2000-07-06,1606.55,1625.45,1575.79,1601.89,0.30824909,5.2874164959
2000-07-07,1607.98,1632.49,1585.44,1615.66,0.32130759,5.5191905188
2000-07-10,1615.12,1636.74,1587.01,1616.83,0.33090321,5.2229070011
2000-07-11,1616.63,1641.28,1594.49,1621.45,0.35478644,5.3179030273
2000-07-12,1622.37,1642.34,1595.39,1616.44,0.30927887,4.6433864935
