date,close
2005-01-04,1145.0
2005-01-05,1151.0
2005-01-06,1154.0
2005-01-07,1158.0
2005-01-10,1155.0
2005-01-11,1155.0
2005-01-12,1157.0
2005-01-13,1155.0
2005-01-14,1156.0
2005-01-17,1156.0
2005-01-18,1156.0
2005-01-19,1158.0
2005-01-20,1156.0
2005-01-21,1156.0
2005-01-24,1157.0
2005-01-25,1158.0
2005-01-26,1157.0
2005-01-27,1155.0
2005-01-28,1153.0
2005-01-31,1148.0
2005-02-01,1146.0
2005-02-02,1145.0
2005-02-03,1149.0
2005-02-04,1150.0
2005-02-16,1154.0
2005-02-17,1153.0
2005-02-18,1151.0
2005-02-21,1153.0
2005-02-22,1161.0
2005-02-23,1157.0
2005-02-24,1159.0
2005-02-25,1156.0
2005-02-28,1185.0
2005-03-01,1172.0
2005-03-02,1178.0
2005-03-03,1174.0
2005-03-04,1182.0
2005-03-07,1186.0
2005-03-08,1185.0
2005-03-09,1194.0
2005-03-10,1214.0
2005-03-11,1209.0
2005-03-14,1212.0
2005-03-15,1285.0
2005-03-16,1318.0
2005-03-17,1255.0
2005-03-18,1270.0
2005-03-21,1308.0
2005-03-22,1308.0
2005-03-23,1299.0
2005-03-24,1314.0
2005-03-25,1313.0
2005-03-28,1313.0
2005-03-29,1339.0
2005-03-30,1318.0
2005-03-31,1327.0
2005-04-01,1329.0
2005-04-04,1337.0
2005-04-05,1329.0
2005-04-06,1331.0
2005-04-07,1329.0
2005-04-08,1328.0
2005-04-11,1328.0
2005-04-12,1336.0
2005-04-13,1328.0
2005-04-14,1326.0
2005-04-15,1326.0
2005-04-18,1321.0
2005-04-19,1324.0
2005-04-20,1342.0
2005-04-21,1323.0
2005-04-22,1323.0
2005-04-25,1326.0
2005-04-26,1321.0
2005-04-27,1319.0
2005-04-28,1318.0
2005-04-29,1314.0
2005-05-09,1303.0
2005-05-10,1302.0
2005-05-11,1298.0
2005-05-12,1282.0
2005-05-13,1271.0
2005-05-16,1277.0
2005-05-17,1281.0
2005-05-18,1287.0
2005-05-19,1291.0
2005-05-20,1289.0
2005-05-23,1296.0
2005-05-24,1296.0
2005-05-25,1280.0
2005-05-26,1286.0
2005-05-27,1292.0
2005-05-30,1285.0
2005-05-31,1283.0
2005-06-01,1280.0
2005-06-02,1260.0
2005-06-03,1256.0
2005-06-06,1298.0
2005-06-07,1295.0
2005-06-08,1293.0
2005-06-09,1295.0
2005-06-10,1299.0
2005-06-13,1296.0
2005-06-14,1294.0
2005-06-15,1296.0
2005-06-16,1295.0
2005-06-17,1296.0
2005-06-20,1299.0
2005-06-21,1294.0
2005-06-22,1297.0
2005-06-23,1294.0
2005-06-24,1298.0
2005-06-27,1294.0
2005-06-28,1289.0
2005-06-29,1292.0
2005-06-30,1288.0
2005-07-01,1288.0
2005-07-04,1287.0
2005-07-05,1284.0
2005-07-06,1285.0
2005-07-07,1293.0
2005-07-08,1287.0
2005-07-11,1298.0
2005-07-12,1297.0
2005-07-13,1293.0
2005-07-14,1292.0
2005-07-15,1292.0
2005-07-18,1287.0
2005-07-19,1288.0
2005-07-20,1281.0
2005-07-21,1283.0
2005-07-22,1279.0
2005-07-25,1270.0
2005-07-26,1259.0
2005-07-27,1257.0
2005-07-28,1238.0
2005-07-29,1256.0
2005-08-01,1244.0
2005-08-02,1250.0
2005-08-03,1220.0
2005-08-04,1213.0
2005-08-05,1237.0
2005-08-08,1238.0
2005-08-09,1238.0
2005-08-10,1222.0
2005-08-11,1246.0
2005-08-12,1241.0
2005-08-15,1204.0
2005-08-16,1201.0
2005-08-17,1193.0
2005-08-18,1228.0
2005-08-19,1203.0
2005-08-22,1239.0
2005-08-23,1207.0
2005-08-24,1227.0
2005-08-25,1233.0
2005-08-26,1227.0
2005-08-29,1230.0
2005-08-30,1233.0
2005-08-31,1236.0
2005-09-01,1237.0
2005-09-02,1237.0
2005-09-05,1211.0
2005-09-06,1241.0
2005-09-07,1213.0
2005-09-08,1239.0
2005-09-09,1240.0
2005-09-12,1240.0
2005-09-13,1208.0
2005-09-14,1227.0
2005-09-15,1237.0
2005-09-16,1240.0
2005-09-19,1242.0
2005-09-20,1234.0
2005-09-21,1262.0
2005-09-22,1265.0
2005-09-23,1273.0
2005-09-26,1261.0
2005-09-27,1227.0
2005-09-28,1261.0
2005-09-29,1267.0
2005-09-30,1265.0
2005-10-10,1293.0
2005-10-11,1297.0
2005-10-12,1249.0
2005-10-13,1248.0
2005-10-14,1238.0
2005-10-17,1242.0
2005-10-18,1237.0
2005-10-19,1234.0
2005-10-20,1235.0
