date,close
2021-01-08,26805.0
2021-01-11,26030.0
2021-01-12,25560.0
2021-01-13,25855.0
2021-01-14,24890.0
2021-01-15,24725.0
2021-01-18,25140.0
2021-01-19,25025.0
2021-01-20,24910.0
2021-01-21,24870.0
2021-01-22,24570.0
2021-01-25,24930.0
2021-01-26,25555.0
2021-01-27,25275.0
2021-01-28,25190.0
2021-01-29,25570.0
2021-02-01,25685.0
2021-02-02,25380.0
2021-02-03,25315.0
2021-02-04,25445.0
2021-02-05,26170.0
2021-02-08,26900.0
2021-02-09,26845.0
2021-02-10,26705.0
2021-02-18,27000.0
2021-02-19,28330.0
2021-02-22,29380.0
2021-02-23,28980.0
2021-02-24,28900.0
2021-02-25,28915.0
2021-02-26,28970.0
2021-03-01,29185.0
2021-03-02,28750.0
2021-03-03,28785.0
2021-03-04,28845.0
2021-03-05,28400.0
2021-03-08,28545.0
2021-03-09,27900.0
2021-03-10,28050.0
2021-03-11,28595.0
2021-03-12,28750.0
2021-03-15,28405.0
2021-03-16,28450.0
2021-03-17,28610.0
2021-03-18,28470.0
2021-03-19,28505.0
2021-03-22,28250.0
2021-03-23,28135.0
2021-03-24,28000.0
2021-03-25,27520.0
2021-03-26,27215.0
2021-03-29,26555.0
2021-03-30,27030.0
2021-03-31,26985.0
2021-04-01,27940.0
2021-04-02,27660.0
2021-04-06,27120.0
2021-04-07,26810.0
2021-04-08,26920.0
2021-04-09,26610.0
2021-04-12,27095.0
2021-04-13,27605.0
2021-04-14,27425.0
2021-04-15,27190.0
2021-04-16,26920.0
2021-04-19,27180.0
2021-04-20,27110.0
2021-04-21,27170.0
2021-04-22,27195.0
2021-04-23,27720.0
2021-04-26,27370.0
2021-04-27,27035.0
2021-04-28,27250.0
2021-04-29,27320.0
2021-04-30,27290.0
2021-05-06,26700.0
2021-05-07,26900.0
2021-05-10,25005.0
2021-05-11,24950.0
2021-05-12,25255.0
2021-05-13,25020.0
2021-05-14,24970.0
2021-05-17,24940.0
2021-05-18,24585.0
2021-05-19,23550.0
2021-05-20,23565.0
2021-05-21,23890.0
2021-05-24,23940.0
2021-05-25,23895.0
2021-05-26,23120.0
2021-05-27,22445.0
2021-05-28,22485.0
2021-05-31,22245.0
2021-06-01,22025.0
2021-06-02,21525.0
2021-06-03,20640.0
2021-06-04,19870.0
2021-06-07,20025.0
2021-06-08,19770.0
2021-06-09,20215.0
2021-06-10,19935.0
2021-06-11,19795.0
2021-06-15,18810.0
2021-06-16,18970.0
2021-06-17,18465.0
2021-06-18,17600.0
2021-06-21,16735.0
2021-06-22,17040.0
2021-06-23,18160.0
2021-06-24,17840.0
2021-06-25,18925.0
2021-06-28,18925.0
2021-06-29,19240.0
2021-06-30,19370.0
2021-07-01,18890.0
2021-07-02,18580.0
2021-07-05,18745.0
2021-07-06,18985.0
2021-07-07,18625.0
2021-07-08,18865.0
2021-07-09,19165.0
2021-07-12,18760.0
2021-07-13,18270.0
2021-07-14,18210.0
2021-07-15,18120.0
2021-07-16,18400.0
2021-07-19,18785.0
2021-07-20,18840.0
2021-07-21,18740.0
2021-07-22,18375.0
2021-07-23,18295.0
2021-07-26,18460.0
2021-07-27,18390.0
2021-07-28,18430.0
2021-07-29,18600.0
